name,alternative_name,classification_id,category,variant_label,variant_names,alternative_variant_name,collections,brand,condition_id,sku,barcode,buy_price,market_price,sell_price,pos_sell_price,pos_sell_price_dynamic,comission,customer_comission,is_customer_comission_percentage,track_inventory,stock_qty,hold_qty,low_stock_alert,uom,uom_name,uom_converter,uom_buy_price,uom_sell_price,uom_sell_price_pos,qty_fast_moving,weight_kg,loyalty_points,published,pos_hidden,description,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9,photo_10,notes,tax_free_item,non_service_charge
13e coffee,,2902,Coffee,Es,Ice,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
13e coffee,,2902,Coffee,Es,Hot,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
13e Prime,,2902,Coffee,,,,,,,,,0,28000,29000,29000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Air mineral,,2902,Non coffee,,,,,,,,,0,8000,8000,8000,0,0,0,0,0,0,0,0,pcs,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Air Panas,,2902,Non coffee,,,,,,N,,,0,5000,6000,6000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Ala Thai Ricebowl,,2901,Ricebowl,,,,,,,,,3944.47,44000,35000,35000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Americano,,2902,Coffee,Es,Ice,,,,,,,0,18000,19000,19000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Americano,,2902,Coffee,Es,Hot,,,,,,,0,18000,19000,19000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Andaliman,,2901,Western,Pasta,Spaghetti,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Andaliman,,2901,Western,Pasta,Fettuccine,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
